user,ILD,model
47,0.7,CF (KNNBasic)
255,0.7,CF (KNNBasic)
89,0.7,CF (KNNBasic)
140,0.7,CF (KNNBasic)
190,0.7,CF (KNNBasic)
24,0.7,CF (KNNBasic)
17,0.6,CF (KNNBasic)
313,0.7,CF (KNNBasic)
53,0.7111111111111111,CF (KNNBasic)
124,0.7555555555555555,CF (KNNBasic)
149,0.7,CF (KNNBasic)
176,0.7,CF (KNNBasic)
106,0.7,CF (KNNBasic)
312,0.7,CF (KNNBasic)
175,0.7555555555555555,CF (KNNBasic)
153,0.7111111111111111,CF (KNNBasic)
220,0.7,CF (KNNBasic)
143,0.7,CF (KNNBasic)
199,0.7,CF (KNNBasic)
202,0.7,CF (KNNBasic)
277,0.7,CF (KNNBasic)
206,0.7,CF (KNNBasic)
76,0.7,CF (KNNBasic)
314,0.7,CF (KNNBasic)
136,0.7,CF (KNNBasic)
179,0.7,CF (KNNBasic)
4,0.7,CF (KNNBasic)
304,0.7,CF (KNNBasic)
3,0.7,CF (KNNBasic)
227,0.7,CF (KNNBasic)
252,0.7,CF (KNNBasic)
212,0.7,CF (KNNBasic)
310,0.7888888888888889,CF (KNNBasic)
35,0.7925925925925926,CF (KNNBasic)
147,0.7,CF (KNNBasic)
105,0.7,CF (KNNBasic)
34,0.7,CF (KNNBasic)
71,0.7,CF (KNNBasic)
51,0.7555555555555555,CF (KNNBasic)
204,0.7,CF (KNNBasic)
315,0.7,CF (KNNBasic)
31,0.7,CF (KNNBasic)
316,0.7,CF (KNNBasic)
103,0.7888888888888889,CF (KNNBasic)
318,0.7,CF (KNNBasic)
30,0.7,CF (KNNBasic)
120,0.7,CF (KNNBasic)
46,0.7,CF (KNNBasic)
289,0.7555555555555555,CF (KNNBasic)
209,0.7,CF (KNNBasic)
261,0.7481481481481482,CF (KNNBasic)
88,0.6796296296296296,CF (KNNBasic)
9,0.7,CF (KNNBasic)
247,0.7,CF (KNNBasic)
321,0.7,CF (KNNBasic)
